mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
7	7	3/4	3/4	4/4	1	1	V7/IV						d	III		V7/IV	V		7		IV			Mm7	1	0	-1, 3, 0, -3		-1	-1	2	2	0.5	0.125	0.25	0.3333333333333333
8	8	0	0	4/4	1	1	i.VIM7						d	i		VIM7	VI	M	7					MM7	1	1	-2, 2, -1, 3		-2	-2	2	2	0.5	0.125	0.375	0.25
8	8	1/4	1/4	4/4	1	1	iv6						d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.1875	0.0
8	8	3/8	3/8	4/4	1	1	V43/iv						d	i		V43/iv	V		43		iv			Mm7	1	1	3, 0, 2, 6		2	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	8	1/2	1/2	4/4	1	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	4	4	0.5	0.25	0.25	0.5
8	8	3/4	3/4	4/4	1	1	iv6						d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	8	7/8	7/8	4/4	1	1	ii%43						d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	0	3	0.0	0.0	0.25	0.0
9	9	0	0	4/4	1	1	V|HC.PHR}						d	i		V	V					HC.PHR	}	M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	0.5	0.0
10	9	0	1/8	4/4	1	1	III{						d	i		III	III						{	M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
10	9	3/8	1/2	4/4	1	1	VII						d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	6	0.0	0.0	0.875	0.0
11	10	0	0	4/4	1	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.625	0.0
11	10	3/8	3/8	4/4	1	1	i64						d	i		i64	i		64					m	1	1	3, 2, -1		2	3	0	2	0.0	0.0	0.25	0.0
11	10	1/2	1/2	4/4	1	1	ii%43						d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	1	4	0.2	0.0625	0.4375	0.125
11	10	3/4	3/4	4/4	1	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.3125	0.0
11	10	7/8	7/8	4/4	1	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.1875	0.0
12	11	0	0	4/4	1	1	V|HC.SIM}						d	i		V	V					HC.SIM	}	M	1	1	3, 7, 4		3	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
12	11	1/4	1/4	4/4	1	1	V7/iv{						d	i		V7/iv	V		7		iv		{	Mm7	1	1	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.375	0.0
12	11	1/2	1/2	4/4	1	1	IV						d	i		IV	IV							M	1	1	1, 5, 2		1	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
12	11	3/4	3/4	4/4	1	1	V7/III						d	i		V7/III	V		7		III			Mm7	1	1	0, 4, 1, -2		0	0	0	4	0.0	0.0	0.375	0.0
13	12	0	0	4/4	1	1	III						d	i		III	III							M	1	1	-1, 3, 0		-1	-1	5	6	0.45454545454545453	0.3125	0.5625	0.35714285714285715
13	12	1/2	1/2	4/4	1	1	VII.ii43						d	VII		ii43	ii		43					mm7	1	0	3, 0, 2, -1		2	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	12	5/8	5/8	4/4	1	1	ii65						d	VII		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	12	3/4	3/4	4/4	1	1	V						d	VII		V	V							M	1	0	1, 5, 2		1	1	1	3	0.25	0.0625	0.4375	0.125
14	13	0	0	4/4	1	1	I|PAC}						d	VII		I	I					PAC	}	M	1	0	0, 4, 1		0	0	0	5	0.0	0.0	0.75	0.0
14	13	1/2	1/2	4/4	1	1	I[I						d	VII	I	I	I							M	1	0	0, 4, 1		0	0	1	10	0.09090909090909091	0.0625	1.4375	0.041666666666666664
15	14	1/2	1/2	4/4	1	1	V43						d	VII	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2	1	4	0.2	0.25	0.5	0.3333333333333333
16	15	0	0	4/4	1	1	I]						d	VII	I	I	I							M	1	0	0, 4, 1		0	0	0	6	0.0	0.0	0.875	0.0
16	15	1/2	1/2	4/4	1	1	III.V65	-1.23652	-3.89368		/		d	III		V65	V		65					Mm7	1	0	4, 1, -2, 0		0	4	1	3	0.25	0.0625	0.4375	0.125
16	15	3/4	3/4	4/4	1	1	I	0.337233	-3.43645		/		d	III		I	I							M	1	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.0625	0.4375	0.125
17	16	0	0	4/4	1	1	V|HC.SIM}						d	III		V	V					HC.SIM	}	M	1	0	0, 4, 1		0	0	3	7	0.3	0.1875	0.8125	0.1875
17	16	1/2	1/2	4/4	1	1	i.iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	4	7	0.36363636363636365	0.25	0.75	0.25
18	17	0	0	4/4	1	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	4	7	0.36363636363636365	0.25	0.75	0.25
18	17	1/2	1/2	4/4	1	1	V43	-0.674465	-2.98088	-6.8067	/		d	i		V43	V		43					Mm7	1	1	4, 1, 3, 7		3	4	1	2	0.3333333333333333	0.0	0.3125	0.0
18	17	5/8	5/8	4/4	1	1	V65						d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3	7	0	2	0.0	0.0	0.1875	0.0
18	17	3/4	3/4	4/4	1	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.0625	0.4375	0.125
19	18	0	0	4/4	1	1	V|HC.SIM}						d	i		V	V					HC.SIM	}	M	1	1	3, 7, 4		3	3	0	7	0.0	0.0	1.0	0.0
19	18	1/2	1/2	4/4	1	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	1	0.0	0.0	0.125	0.0
19	18	5/8	5/8	4/4	1	1	V/iv						d	i		V/iv	V				iv			M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
19	18	3/4	3/4	4/4	1	1	VII6						d	i		VII6	VII		6					M	1	1	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
19	18	7/8	7/8	4/4	1	1	V65/iv						d	i		V65/iv	V		65		iv			Mm7	1	1	6, 3, 0, 2		2	6	0	3	0.0	0.0	0.25	0.0
20	19	0	0	4/4	1	1	IV						d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.5	0.0
20	19	1/4	1/4	4/4	1	1	ii						d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	0.25	0.0
20	19	1/2	1/2	4/4	1	1	iio						d	i		iio	ii	o						o	1	1	4, 1, -2		4	4	5	5	0.5	0.375	0.5	0.42857142857142855
21	20	0	0	4/4	1	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	0	5	0.0	0.0	0.75	0.0
21	20	1/2	1/2	4/4	1	1	V2						d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	5	0.0	0.0	0.75	0.0
22	21	0	0	4/4	1	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	5	0.0	0.0	0.75	0.0
22	21	1/2	1/2	4/4	1	1	V65						d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3	7	0	5	0.0	0.0	0.75	0.0
23	22	0	0	4/4	1	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
23	22	1/4	1/4	4/4	1	1	V43						d	i		V43	V		43					Mm7	1	1	4, 1, 3, 7		3	4	0	3	0.0	0.0	0.375	0.0
23	22	1/2	1/2	4/4	1	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
23	22	5/8	5/8	4/4	1	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	2	2	0.5	0.125	0.125	0.5
23	22	3/4	3/4	4/4	1	1	ii%43						d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
23	22	7/8	7/8	4/4	1	1	ii%65						d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	3	0.0	0.0	0.25	0.0
24	23	0	0	4/4	1	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	1	4	0.2	0.0625	0.3125	0.16666666666666666
24	23	1/4	1/4	4/4	1	1	V2						d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	2	3	0.4	0.125	0.25	0.3333333333333333
24	23	1/2	1/2	4/4	1	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
24	23	5/8	5/8	4/4	1	1	ii%65						d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
24	23	3/4	3/4	4/4	1	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.3125	0.0
24	23	7/8	7/8	4/4	1	1	V7						d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	1	1	0.5	0.0625	0.125	0.3333333333333333
25	23	0	0	4/4	1	1	i|PAC}					1	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
26	23	0	0	4/4	1	1	i|PAC}					2	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	2.0	0.0
